event_id,year
2014-0396-JPN,2014
2014-0397-JPN,2014
2014-0417-MEX,2014
2014-0423-PNG,2014
2014-0474-PHL,2014
2014-0474-VNM,2014
2014-0479-PHL,2014
2014-0497-PHL,2014
2015-0016-MDG,2015
2015-0017-PHL,2015
2015-0053-AUS,2015
2015-0074-MDG,2015
2015-0079-AUS,2015
2015-0093-KIR,2015
2015-0093-PNG,2015
2015-0093-SLB,2015
2015-0093-TUV,2015
2015-0093-VUT,2015
2015-0105-CHN,2015
2015-0105-FSM,2015
2015-0105-PHL,2015
2015-0135-AUS,2015
2015-0176-JPN,2015
2015-0176-PHL,2015
2015-0244-CHN,2015
2015-0244-JPN,2015
2015-0244-PHL,2015
2015-0244-TWN,2015
2015-0252-CHN,2015
2015-0252-VNM,2015
2015-0261-JPN,2015
2015-0278-CHN,2015
2015-0278-PHL,2015
2015-0281-SLB,2015
2015-0309-BGD,2015
2015-0339-CHN,2015
2015-0339-MNP,2015
2015-0339-PHL,2015
2015-0339-TWN,2015
2015-0371-JPN,2015
2015-0371-PHL,2015
2015-0375-DMA,2015
2015-0375-DOM,2015
2015-0375-HTI,2015
2015-0456-JPN,2015
2015-0458-CHN,2015
2015-0458-JPN,2015
2015-0458-TWN,2015
2015-0459-USA,2015
2015-0462-PHL,2015
2015-0470-MEX,2015
2015-0473-CPV,2015
2015-0479-BHS,2015
2015-0484-SOM,2015
2015-0484-YEM,2015
2015-0490-CHN,2015
2015-0490-PHL,2015
2015-0494-SOM,2015
2015-0494-YEM,2015
2015-0543-PHL,2015
2015-0620-KHM,2015
2015-0620-THA,2015
2015-0620-VNM,2015
2016-0004-TON,2016
2016-0041-FJI,2016
2016-0041-TON,2016
2016-0141-FJI,2016
2016-0141-TON,2016
2016-0175-BGD,2016
2016-0256-CHN,2016
2016-0256-PHL,2016
2016-0256-TWN,2016
2016-0268-VNM,2016
2016-0284-BLZ,2016
2016-0284-GTM,2016
2016-0284-HND,2016
2016-0284-MEX,2016
2016-0319-MEX,2016
2016-0322-USA,2016
2016-0324-JPN,2016
2016-0342-CHN,2016
2016-0342-PHL,2016
2016-0342-TWN,2016
2016-0350-CHN,2016
2016-0350-TWN,2016
2016-0355-BHS,2016
2016-0355-CUB,2016
2016-0355-DOM,2016
2016-0355-HTI,2016
2016-0355-JAM,2016
2016-0355-LCA,2016
2016-0355-USA,2016
2016-0355-VCT,2016
2016-0361-JPN,2016
2016-0361-KOR,2016
2016-0362-VNM,2016
2016-0363-CHN,2016
2016-0363-PHL,2016
2016-0364-CHN,2016
2016-0364-PHL,2016
2016-0379-CHN,2016
2016-0379-VNM,2016
2016-0382-JPN,2016
2016-0390-JPN,2016
2016-0433-CRI,2016
2016-0433-NIC,2016
2016-0433-PAN,2016
2016-0456-PHL,2016
2016-0485-IND,2016
2016-0490-PHL,2016
2016-0503-PHL,2016
2017-0051-MOZ,2017
2017-0075-MDG,2017
2017-0091-ZWE,2017
2017-0105-AUS,2017
2017-0142-PHL,2017
2017-0152-BGD,2017
2017-0152-IND,2017
2017-0152-MMR,2017
2017-0168-MEX,2017
2017-0231-VUT,2017
2017-0281-CHN,2017
2017-0281-LAO,2017
2017-0281-THA,2017
2017-0281-VNM,2017
2017-0326-CHN,2017
2017-0326-PHL,2017
2017-0326-TWN,2017
2017-0327-JPN,2017
2017-0334-MEX,2017
2017-0352-CHN,2017
2017-0352-HKG,2017
2017-0352-MAC,2017
2017-0352-VNM,2017
2017-0362-USA,2017
2017-0376-MEX,2017
2017-0381-AIA,2017
2017-0381-ATG,2017
2017-0381-BHS,2017
2017-0381-BLM,2017
2017-0381-BRB,2017
2017-0381-CUB,2017
2017-0381-DOM,2017
2017-0381-HTI,2017
2017-0381-KNA,2017
2017-0381-MAF,2017
2017-0381-PRI,2017
2017-0381-SXM,2017
2017-0381-TCA,2017
2017-0381-USA,2017
2017-0381-VGB,2017
2017-0381-VIR,2017
2017-0383-DMA,2017
2017-0383-DOM,2017
2017-0383-GLP,2017
2017-0383-HTI,2017
2017-0383-MTQ,2017
2017-0383-PRI,2017
2017-0383-USA,2017
2017-0383-VGB,2017
2017-0383-VIR,2017
2017-0392-MEX,2017
2017-0406-PHL,2017
2017-0406-THA,2017
2017-0406-VNM,2017
2017-0410-COL,2017
2017-0410-CRI,2017
2017-0410-GTM,2017
2017-0410-HND,2017
2017-0410-NIC,2017
2017-0410-PAN,2017
2017-0410-SLV,2017
2017-0410-USA,2017
2017-0422-PHL,2017
2017-0422-VNM,2017
2017-0432-JPN,2017
2017-0432-PHL,2017
2017-0468-JPN,2017
2017-0485-CHN,2017
2017-0485-HKG,2017
2017-0485-MAC,2017
2017-0485-PHL,2017
2017-0508-IND,2017
2017-0508-LKA,2017
2017-0515-IDN,2017
2018-0004-PHL,2018
2018-0008-MDG,2018
2018-0029-MUS,2018
2018-0029-REU,2018
2018-0042-TON,2018
2018-0042-WSM,2018
2018-0044-PHL,2018
2018-0086-MDG,2018
2018-0101-FJI,2018
2018-0145-DJI,2018
2018-0145-SOM,2018
2018-0170-CUB,2018
2018-0170-USA,2018
2018-0177-OMN,2018
2018-0177-YEM,2018
2018-0194-FJI,2018
2018-0201-CHN,2018
2018-0201-VNM,2018
2018-0227-LAO,2018
2018-0227-PHL,2018
2018-0227-VNM,2018
2018-0280-DOM,2018
2018-0280-PRI,2018
2018-0285-CHN,2018
2018-0287-CHN,2018
2018-0305-CHN,2018
2018-0305-LAO,2018
2018-0305-VNM,2018
2018-0309-CHN,2018
2018-0309-PRK,2018
2018-0313-TWN,2018
2018-0326-JPN,2018
2018-0341-CHN,2018
2018-0341-HKG,2018
2018-0341-PHL,2018
2018-0342-USA,2018
2018-0347-CHN,2018
2018-0347-PHL,2018
2018-0348-CHN,2018
2018-0353-JPN,2018
2018-0373-CUB,2018
2018-0373-USA,2018
2018-0376-PRT,2018
2018-0385-IND,2018
2018-0394-OMN,2018
2018-0394-YEM,2018
2018-0399-MNP,2018
2018-0399-PHL,2018
2018-0406-MEX,2018
2018-0421-MEX,2018
2018-0424-JPN,2018
2018-0431-IND,2018
2018-0455-PHL,2018
2018-0469-MHL,2019
2018-0469-SLB,2018
2018-0473-IND,2018
2018-0484-VNM,2018
2019-0009-THA,2019
2019-0021-PHL,2019
2019-0110-MDG,2019
2019-0110-MOZ,2019
2019-0110-ZWE,2019
2019-0124-FSM,2019
2019-0164-BGD,2019
2019-0164-IND,2019
2019-0165-COM,2019
2019-0165-MOZ,2019
2019-0165-TZA,2019
2019-0335-USA,2019
2019-0349-PHL,2019
2019-0387-CHN,2019
2019-0387-TWN,2019
2019-0412-BHS,2019
2019-0412-USA,2019
2019-0417-USA,2019
2019-0418-MEX,2019
2019-0424-CHN,2019
2019-0424-JPN,2019
2019-0424-KOR,2019
2019-0424-PRK,2019
2019-0434-PHL,2019
2019-0443-JPN,2019
2019-0443-KOR,2019
2019-0450-MEX,2019
2019-0472-CHN,2019
2019-0472-KOR,2019
2019-0492-JPN,2019
2019-0519-MEX,2019
2019-0521-JPN,2019
2019-0534-VNM,2019
2019-0541-PHL,2019
2019-0549-PHL,2019
2019-0549-VNM,2019
2019-0550-BGD,2019
2019-0550-IND,2019
2019-0573-PHL,2019
2019-0600-SOM,2019
2019-0601-COM,2019
2019-0601-MDG,2019
2019-0634-PHL,2019
2019-0642-FJI,2019
2020-0015-FJI,2020
2020-0015-TUV,2020
2020-0103-MDG,2020
2020-0132-FJI,2020
2020-0132-SLB,2020
2020-0132-TON,2020
2020-0132-VUT,2020
2020-0203-PHL,2020
2020-0211-BGD,2020
2020-0211-IND,2020
2020-0211-LKA,2020
2020-0217-IND,2020
2020-0218-GTM,2020
2020-0218-HND,2020
2020-0218-SLV,2020
2020-0219-MEX,2020
2020-0219-USA,2020
2020-0307-LAO,2020
2020-0307-THA,2020
2020-0307-VNM,2020
2020-0308-CHN,2020
2020-0308-KOR,2020
2020-0308-TWN,2020
2020-0312-CUB,2020
2020-0312-DOM,2020
2020-0312-PRI,2020
2020-0312-USA,2020
