analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2022-0520-DZA,,1,,,,year=2022; true=Moderate; predicted=Low; type=Wildfire; region=Northern Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0567-CHN,,1,,,,year=2022; true=High; predicted=Low; type=Earthquake; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0569-ZWE,,1,,,,year=2022; true=High; predicted=Extreme; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0590-NPL,,1,,,,year=2022; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0603-PRI,,1,,,,year=2022; true=Moderate; predicted=Low; type=Storm; region=Latin America and the Caribbean; hdi=missing; categories=known_categories
misclassified_sample,2022-0613-PHL,,1,,,,year=2022; true=Moderate; predicted=Low; type=Storm; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0619-IDN,,1,,,,year=2022; true=High; predicted=Moderate; type=Miscellaneous accident (General); region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0835-KHM,,1,,,,year=2022; true=Moderate; predicted=High; type=Fire (Miscellaneous); region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0642-IDN,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0648-VEN,,1,,,,year=2022; true=High; predicted=Moderate; type=Mass movement (wet); region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2022-0783-BRA,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2022-0696-BEN,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0701-UGA,,1,,,,year=2022; true=Moderate; predicted=High; type=Fire (Miscellaneous); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0711-COD,,1,,,,year=2022; true=Moderate; predicted=High; type=Miscellaneous accident (General); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0725-TZA,,1,,,,year=2022; true=Moderate; predicted=High; type=Air; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0770-COD,,1,,,,year=2022; true=Moderate; predicted=High; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0818-USA,,1,,,,year=2022; true=Moderate; predicted=Low; type=Storm; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2022-9209-USA,,1,,,,year=2022; true=High; predicted=Low; type=Drought; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2023-0032-USA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Northern America; hdi=present; categories=known_categories
