grouping_strategy,group_key,disaster_type,disaster_subtype,magnitude_scale,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate,minimum,q1,median,q3,iqr,maximum,extreme_outlier_count,training_records,training_nonmissing,training_median_audit_only,training_iqr_audit_only,full_data_iqr_zero,training_iqr_zero,semantic_consistent,semantic_notes,statistically_supported_from_training,recommended_hybrid_group,unsupported_reasons
disaster_subtype+magnitude_scale,Derecho | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Derecho,Kph,6,1,5,0.16666666666666666,150.0,150.0,150.0,150.0,0.0,150.0,0,3,1,150.0,0.0,True,True,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 1 < 20; training IQR = 0
disaster_subtype+magnitude_scale,Hail | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Hail,Kph,53,7,46,0.1320754716981132,80.0,92.0,100.0,130.0,38.0,164.0,0,45,6,115.0,42.0,False,False,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 6 < 20
disaster_subtype+magnitude_scale,Lightning/Thunderstorms | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Lightning/Thunderstorms,Kph,170,19,151,0.11176470588235295,60.0,100.0,110.0,142.5,42.5,320.0,1,153,16,119.0,39.75,False,False,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 16 < 20
disaster_subtype+magnitude_scale,Sand/Dust storm | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Sand/Dust storm,Kph,20,2,18,0.1,100.0,102.5,105.0,107.5,5.0,110.0,0,9,2,105.0,5.0,False,False,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 2 < 20
disaster_subtype+magnitude_scale,Storm surge | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Storm surge,Kph,10,1,9,0.1,195.0,195.0,195.0,195.0,0.0,195.0,0,3,0,,,True,False,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Infectious disease (General) | Vaccinated,<MULTIPLE_OR_NOT_APPLICABLE>,Infectious disease (General),Vaccinated,81,0,81,0.0,,,,,,,0,80,0,,,False,False,False,response/intervention count; potentially available only after event onset,False,False,response/intervention count; potentially available only after event onset; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Parasitic disease | Vaccinated,<MULTIPLE_OR_NOT_APPLICABLE>,Parasitic disease,Vaccinated,18,0,18,0.0,,,,,,,0,15,0,,,False,False,False,response/intervention count; potentially available only after event onset,False,False,response/intervention count; potentially available only after event onset; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Viral disease | Vaccinated,<MULTIPLE_OR_NOT_APPLICABLE>,Viral disease,Vaccinated,362,20,342,0.055248618784530384,2104.0,51034.5,193276.5,825000.0,773965.5,13025874.0,1,320,17,227270.0,1400000.0,False,False,False,response/intervention count; potentially available only after event onset,False,False,response/intervention count; potentially available only after event onset; training non-missing sample count 17 < 20
disaster_subtype+magnitude_scale,Chemical spill | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Chemical spill,m3,23,2,21,0.08695652173913043,12000.0,34000.0,56000.0,78000.0,44000.0,100000.0,0,22,2,56000.0,44000.0,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 2 < 20
disaster_subtype+magnitude_scale,Collapse (Industrial) | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Collapse (Industrial),m3,163,1,162,0.006134969325153374,40000000.0,40000000.0,40000000.0,40000000.0,0.0,40000000.0,0,126,1,40000000.0,0.0,True,True,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 1 < 20; training IQR = 0
disaster_subtype+magnitude_scale,Explosion (Industrial) | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Explosion (Industrial),m3,477,0,477,0.0,,,,,,,0,430,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Fire (Industrial) | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Fire (Industrial),m3,115,0,115,0.0,,,,,,,0,101,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Gas leak | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Gas leak,m3,36,0,36,0.0,,,,,,,0,28,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Industrial accident (General) | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Industrial accident (General),m3,102,0,102,0.0,,,,,,,0,94,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Oil spill | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Oil spill,m3,6,0,6,0.0,,,,,,,0,5,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Poisoning | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Poisoning,m3,21,0,21,0.0,,,,,,,0,20,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Radiation | m3,<MULTIPLE_OR_NOT_APPLICABLE>,Radiation,m3,2,0,2,0.0,,,,,,,0,2,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
